cell_id	m1	m3	left_m2	left_x1	left_v1	left_v2	left_period	right_m2	right_x1	right_v1	right_v2	right_period
0	0.8	1	0.755	-0.13465945958951001	2.5188912614905701	0.31535943224218699	5.1459116457443601	0.756	-0.135024519775613	2.5150582929784102	0.31639626159307899	5.1600871994943196
1	0.8	1	0.76	-0.13637626948095899	2.5009199224320202	0.31969742810753898	5.2080827381271204	0.761	-0.13669540215420201	2.4975974752874901	0.320372428176877	5.2185322117811399
2	0.801	1	0.754	-0.13484831050661999	2.51573531796992	0.31603008056514598	5.1460188303618297	0.755	-0.13521843950554299	2.51186061422333	0.317094257375231	5.1604998656168002
3	0.801	1	0.76	-0.13690711485047699	2.4942637014536602	0.32115182012401899	5.2198956815524902	0.761	-0.13722355564127101	2.4909849784829299	0.321792400372652	5.2300106237629302
4	0.802	1	0.754	-0.135408614725638	2.5087110577238598	0.31778581741282602	5.1608218060597597	0.755	-0.13576947948302701	2.50494921114811	0.31876732422521697	5.1744761774950199
5	0.802	1	0.759	-0.13711553814562599	2.4909738682796898	0.32192833363119799	5.22120651896397	0.76	-0.137434806996061	2.4876748767908201	0.322579746354059	5.2314548064987099
10	0.805	1	0.752	-0.136331558412217	2.49567295436947	0.32087723479083002	5.1757292441510998	0.753	-0.13669344264515301	2.4919376366198001	0.321832144888136	5.18918103768367
15	0.807	1	0.756	-0.138769932248552	2.46843356192075	0.32713756977264902	5.2483733325020996	0.757	-0.13909279799485799	2.4651547209069098	0.327756754969107	5.2583939837346598
20	0.81	1	0.748	-0.13757846260616599	2.4772271178154499	0.32534316828402698	5.1908379689655098	0.749	-0.137950501468804	2.4734441785889398	0.32631985008194198	5.2046358504529797
30	0.815	1	0.745	-0.13914721275736	2.4558578907718198	0.33079529794941098	5.2195819543512396	0.746	-0.13951784818236099	2.4521481604028299	0.331704853199075	5.2328046389058702
50	0.825	1	0.739	-0.14212964128164099	2.4157831898201301	0.34154522858790898	5.2750324833249396	0.74	-0.14250136227840299	2.4121720182048101	0.342351560357466	5.2874181500757302
100	0.85	1	0.745	-0.15625475698552599	2.2623830476372699	0.37618897994797201	5.5851949612495702	0.746	-0.15659826130971499	2.2594223078670601	0.37640312037458701	5.5917599080665097
148	0.874	1	0.796	-0.18621224180006901	2.0143469303152499	0.40088314837616301	6.0059711709191399	0.797	-0.186583241723035	2.0118601316191902	0.40078499460744899	6.0092293667135497
200	0.9	1	0.845	-0.220693802601553	1.7917940887786299	0.41591291890923399	6.33833340170328	0.846	-0.221105744754509	1.7896706775278699	0.41573190418014	6.34085663812367
610	1.062	1	1.176	-0.441102161328355	1.07201883541503	0.432021435065228	7.9638868569168801	1.177	-0.44065695567378499	1.0729126431985201	0.43165702533600497	7.9594283130849703
619	1.071	1	1.199	-0.44319980660227298	1.0670779740890599	0.42875954577536901	7.96561224857067	1.2	-0.44267615044358	1.06808847280162	0.42840210678423402	7.9606181526633497
